"gosterge","p","pencere","RMSE","MAE","secildi"
"BUTCE_DENGESI",12,36,325717626.563803,241567277.584384,FALSE
"BUTCE_DENGESI",12,42,324479459.249175,241122887.788397,FALSE
"BUTCE_DENGESI",12,48,320689166.671287,239750141.887557,FALSE
"BUTCE_DENGESI",12,54,319237719.813986,238746470.091862,FALSE
"BUTCE_DENGESI",12,60,318367259.166545,237967516.691949,TRUE
"UFE",12,36,51.9698171174541,40.0744583281573,FALSE
"UFE",12,42,52.8088435864315,41.6348549247612,FALSE
"UFE",12,48,53.9084518419612,42.5997919216663,FALSE
"UFE",12,54,53.287563912163,41.8241230067166,FALSE
"UFE",12,60,51.8726086381497,40.7005803688875,FALSE
"UFE",11,36,47.5710319813771,37.6547300625324,FALSE
"UFE",11,42,47.7263825852941,38.3898780052156,FALSE
"UFE",11,48,48.5458249846962,39.0313737599342,FALSE
"UFE",11,54,48.6660391154567,38.8924819825932,FALSE
"UFE",11,60,47.4919060183676,37.829966655238,FALSE
"UFE",4,36,36.597809775281,29.0162745855629,TRUE
"UFE",4,42,36.8644542831496,30.2464001645211,FALSE
"UFE",4,48,36.6067909245704,29.6303908975621,FALSE
"UFE",4,54,37.4568427745348,30.0618634199652,FALSE
"UFE",4,60,36.927171427184,29.5678775711779,FALSE
"M2",12,36,400607450.893651,326112101.189251,FALSE
"M2",12,42,388095399.371012,311713628.40568,FALSE
"M2",12,48,388949318.073596,307770612.803106,FALSE
"M2",12,54,392918065.621781,310654326.214667,FALSE
"M2",12,60,394526233.834611,313441054.66828,FALSE
"M2",5,36,330496457.158552,245846196.34685,FALSE
"M2",5,42,326099456.924502,238473047.220624,FALSE
"M2",5,48,323599982.279197,240373940.067758,FALSE
"M2",5,54,323972563.487312,244769254.184285,FALSE
"M2",5,60,327627783.467333,248633863.064764,FALSE
"M2",1,36,311640886.328165,234634558.201685,TRUE
"M2",1,42,315179796.051054,238673556.96236,FALSE
"M2",1,48,312447283.429113,238802887.322334,FALSE
"M2",1,54,313198858.154565,240522414.674276,FALSE
"M2",1,60,315507003.143896,242746836.427751,FALSE
"REEL_KESIM_GUVEN",12,36,1.63195220644694,1.26366410378588,FALSE
"REEL_KESIM_GUVEN",12,42,1.77897541221165,1.36933798463018,FALSE
"REEL_KESIM_GUVEN",12,48,1.6433993367447,1.33371448574894,FALSE
"REEL_KESIM_GUVEN",12,54,1.55957261627352,1.25834958748722,FALSE
"REEL_KESIM_GUVEN",12,60,1.55660780989863,1.2534114781748,FALSE
"REEL_KESIM_GUVEN",2,36,1.5208171971746,1.21484745015232,TRUE
"REEL_KESIM_GUVEN",2,42,1.61070472108114,1.31203186816834,FALSE
"REEL_KESIM_GUVEN",2,48,1.53525030096534,1.24704336238439,FALSE
"REEL_KESIM_GUVEN",2,54,1.56572394712451,1.27576018697154,FALSE
"REEL_KESIM_GUVEN",2,60,1.56184102280032,1.24966918274016,FALSE
"KAPASITE_KULLANIM",2,36,0.586823265523706,0.488927356832725,FALSE
"KAPASITE_KULLANIM",2,42,0.578225744922963,0.489539461774286,FALSE
"KAPASITE_KULLANIM",2,48,0.601142998565508,0.513309180492413,FALSE
"KAPASITE_KULLANIM",2,54,0.56670511239925,0.467042371514554,FALSE
"KAPASITE_KULLANIM",2,60,0.565384346960807,0.45278660448375,TRUE
"GENC_ISSIZLIK",2,8,5.21334057219333,4.02993194287248,FALSE
"GENC_ISSIZLIK",2,10,1.7173198146245,1.63111465150041,FALSE
