"gosterge","tarih","tahmin","alt","ust"
"TUKETICI_GUVEN",2026-10-01,88.9524409854458,80.7622483337897,97.142633637102
"TUKETICI_GUVEN",2026-11-01,88.1781821804542,78.6134558961216,97.7429084647868
"TUKETICI_GUVEN",2026-12-01,87.4805247126517,76.9307080339087,98.0303413913946
"TUKETICI_GUVEN",2027-01-01,86.8518900245569,75.5653273047672,98.1384527443465
"TUKETICI_GUVEN",2027-02-01,86.2854493436869,74.4343512237431,98.1365474636307
"CARI_DENGE",2026-07-01,1823049811.56,-4263702672.5331,7909802295.65309
"CARI_DENGE",2026-10-01,-7090449772.77965,-13185575514.8007,-995324030.758627
"CARI_DENGE",2027-01-01,-24748051850.5119,-30971930176.1198,-18524173524.9039
"CARI_DENGE",2027-04-01,-2244248881.87239,-8552991718.05913,4064493954.31436
"CARI_DENGE",2027-07-01,8327722779.7322,1323980356.36755,15331465203.0969
"CARI_DENGE",2027-10-01,-3379203287.99762,-10567344412.0466,3808937836.05136
"BUTCE_DENGESI",2026-08-01,-60487889.7835924,-397274679.975454,276298900.40827
"BUTCE_DENGESI",2026-09-01,-60001065.1479393,-400901180.268875,280899049.972996
"BUTCE_DENGESI",2026-10-01,-228385983.104138,-572097812.569228,115325846.360952
"BUTCE_DENGESI",2026-11-01,-169882015.236197,-523332668.363367,183568637.890972
"BUTCE_DENGESI",2026-12-01,-312839963.939141,-668088364.011667,42408436.1333849
"BUTCE_DENGESI",2027-01-01,-185492596.637051,-548633060.620521,177647867.346419
"UFE",2026-09-01,5915.6475609278,5850.7474934029,5980.54762845271
"UFE",2026-10-01,6038.23183820253,5925.33944486682,6151.12423153825
"UFE",2026-11-01,6162.11740100948,6013.80675178284,6310.42805023612
"UFE",2026-12-01,6289.10639128158,6111.05734017757,6467.15544238558
"UFE",2027-01-01,6418.26482992711,6213.2768769933,6623.25278286092
"UFE",2027-02-01,6549.61876020674,6319.75031683518,6779.4872035783
"M2",2026-08-01,28744950706.8604,28175403759.7384,29314497653.9823
"M2",2026-09-01,29349601016.5356,28538365881.1511,30160836151.9202
"M2",2026-10-01,29962889819.7244,28962177673.9238,30963601965.5249
"M2",2026-11-01,30584940532.5054,29421056020.874,31748825044.1367
"M2",2026-12-01,31215878334.173,29905155693.4259,32526600974.9202
"M2",2027-01-01,31855830192.4284,30409518553.2405,33302141831.6162
"REEL_KESIM_GUVEN",2026-10-01,101.395398533555,98.9235912933019,103.867205773809
"REEL_KESIM_GUVEN",2026-11-01,101.223448755642,97.8290424512228,104.617855060062
"REEL_KESIM_GUVEN",2026-12-01,101.361712683116,97.8334412709315,104.889984095301
"REEL_KESIM_GUVEN",2027-01-01,101.577192063758,98.0401661676927,105.114217959823
